V,CaMKt,cass,nai,nass,ki,kss,cansr,cajsr,cai,m,hf,hs,j,hsp,jp,mL,hL,hLp,a,iF,iS,ap,iFp,iSp,d,ff,fs,fcaf,fcas,jca,ffp,fcafp,nca,IC1,IC2,C1,C2,O,IO,IObound,Obound,Cbound,D,xs1,xs2,xk1,Jrelnp,Jrelp
-87.932551,0.012595,0.000085,7.277004,7.277090,144.646552,144.646525,1.618879,1.570366,0.000086,0.007396,0.695700,0.695690,0.695631,0.452151,0.695591,0.000191,0.498441,0.266804,0.001006,0.999549,0.578061,0.000512,0.999549,0.629813,0.000000,1.000000,0.902333,1.000000,0.999750,0.999967,1.000000,1.000000,0.002754,0.906288,0.000063,0.000000,0.000078,0.000343,0.000128,0.059195,0.025789,0.008117,33.000000,0.284966,0.000194,0.996778,0.000000,0.000000
-87.932428,0.012566,0.000085,7.278838,7.278923,144.644792,144.644765,1.618278,1.569977,0.000086,0.007396,0.695696,0.695685,0.695626,0.452146,0.695587,0.000191,0.498073,0.265843,0.001006,0.999549,0.575756,0.000512,0.999549,0.627228,0.000000,1.000000,0.900614,1.000000,0.999739,0.999965,1.000000,1.000000,0.002753,0.874353,0.000061,0.000000,0.000076,0.000450,0.000168,0.075781,0.035409,0.013702,33.000000,0.288432,0.000194,0.996778,0.000000,0.000000
-87.932398,0.012576,0.000085,7.278774,7.278859,144.644806,144.644779,1.618533,1.570183,0.000086,0.007396,0.695695,0.695684,0.695625,0.452145,0.695586,0.000191,0.498046,0.265779,0.001006,0.999549,0.575607,0.000512,0.999549,0.627056,0.000000,1.000000,0.900510,1.000000,0.999738,0.999965,1.000000,1.000000,0.002754,0.870796,0.000060,0.000000,0.000076,0.000468,0.000175,0.077752,0.036482,0.014192,33.000000,0.288602,0.000194,0.996778,0.000000,0.000000
-87.932513,0.012572,0.000085,7.278811,7.278896,144.644855,144.644828,1.618105,1.569703,0.000086,0.007396,0.695699,0.695688,0.695629,0.452149,0.695590,0.000191,0.498041,0.265764,0.001006,0.999549,0.575554,0.000512,0.999549,0.627007,0.000000,1.000000,0.900562,1.000000,0.999738,0.999965,1.000000,1.000000,0.002753,0.870468,0.000060,0.000000,0.000075,0.000451,0.000168,0.078314,0.036465,0.013999,33.000000,0.288568,0.000194,0.996778,0.000000,0.000000
-87.932356,0.012648,0.000085,7.278831,7.278917,144.644527,144.644500,1.619701,1.570910,0.000086,0.007396,0.695693,0.695683,0.695623,0.452143,0.695583,0.000191,0.497974,0.265601,0.001006,0.999549,0.575168,0.000512,0.999549,0.626527,0.000000,1.000000,0.899943,1.000000,0.999735,0.999964,1.000000,1.000000,0.002759,0.871873,0.000060,0.000000,0.000076,0.000472,0.000176,0.077044,0.036260,0.014040,33.000000,0.289672,0.000194,0.996778,0.000000,0.000000
-87.932334,0.012661,0.000085,7.279066,7.279152,144.644218,144.644191,1.620079,1.571220,0.000086,0.007396,0.695693,0.695682,0.695623,0.452142,0.695583,0.000191,0.498298,0.266425,0.001006,0.999549,0.577194,0.000512,0.999549,0.628790,0.000000,1.000000,0.901194,1.000000,0.999744,0.999966,1.000000,1.000000,0.002759,0.900861,0.000062,0.000000,0.000077,0.000327,0.000122,0.060907,0.027278,0.010366,33.000000,0.287388,0.000194,0.996778,0.000000,0.000000
-87.932120,0.012721,0.000085,7.278577,7.278662,144.644454,144.644427,1.621383,1.572220,0.000086,0.007396,0.695685,0.695675,0.695615,0.452133,0.695574,0.000191,0.497632,0.264786,0.001006,0.999549,0.573114,0.000512,0.999549,0.624181,0.000000,1.000000,0.898330,1.000000,0.999723,0.999963,1.000000,1.000000,0.002768,0.847933,0.000059,0.000000,0.000074,0.000453,0.000169,0.092846,0.042393,0.016074,33.000000,0.292406,0.000194,0.996778,0.000000,0.000000
-87.932754,0.012429,0.000085,7.279139,7.279224,144.645050,144.645023,1.615389,1.567792,0.000086,0.007395,0.695707,0.695697,0.695639,0.452160,0.695599,0.000191,0.498555,0.267045,0.001006,0.999549,0.578726,0.000512,0.999549,0.630661,0.000000,1.000000,0.903152,1.000000,0.999755,0.999967,1.000000,1.000000,0.002740,0.905223,0.000063,0.000000,0.000077,0.000331,0.000123,0.057945,0.026199,0.010039,33.000000,0.283902,0.000194,0.996778,0.000000,0.000000
-87.932261,0.012705,0.000085,7.278816,7.278901,144.644327,144.644300,1.620820,1.571700,0.000086,0.007396,0.695690,0.695679,0.695620,0.452139,0.695580,0.000191,0.497927,0.265498,0.001006,0.999549,0.574907,0.000512,0.999549,0.626204,0.000000,1.000000,0.899621,1.000000,0.999732,0.999964,1.000000,1.000000,0.002764,0.869181,0.000060,0.000000,0.000075,0.000439,0.000164,0.079301,0.036656,0.014123,33.000000,0.290196,0.000194,0.996778,0.000000,0.000000
-87.932257,0.012647,0.000085,7.278845,7.278931,144.644440,144.644413,1.620058,1.571340,0.000086,0.007396,0.695690,0.695679,0.695620,0.452139,0.695580,0.000191,0.498084,0.265882,0.001006,0.999549,0.575866,0.000512,0.999549,0.627300,0.000000,1.000000,0.900332,1.000000,0.999738,0.999965,1.000000,1.000000,0.002760,0.880931,0.000061,0.000000,0.000076,0.000430,0.000160,0.071919,0.033512,0.012909,33.000000,0.288910,0.000194,0.996778,0.000000,0.000000
-87.932777,0.012437,0.000085,7.278994,7.279080,144.645208,144.645181,1.615329,1.567641,0.000086,0.007395,0.695708,0.695698,0.695639,0.452161,0.695600,0.000191,0.498319,0.266448,0.001006,0.999549,0.577230,0.000512,0.999549,0.628975,0.000000,1.000000,0.902241,1.000000,0.999749,0.999966,1.000000,1.000000,0.002741,0.883115,0.000061,0.000000,0.000076,0.000384,0.000143,0.071318,0.032512,0.012392,33.000000,0.285550,0.000194,0.996778,0.000000,0.000000
-87.932617,0.012514,0.000085,7.279074,7.279159,144.644794,144.644767,1.617055,1.568975,0.000086,0.007395,0.695703,0.695692,0.695633,0.452154,0.695594,0.000191,0.498417,0.266707,0.001006,0.999549,0.577888,0.000512,0.999549,0.629665,0.000000,1.000000,0.902312,1.000000,0.999750,0.999967,1.000000,1.000000,0.002747,0.897698,0.000062,0.000000,0.000077,0.000340,0.000126,0.062654,0.028224,0.010820,33.000000,0.285398,0.000194,0.996778,0.000000,0.000000
-87.932606,0.012591,0.000085,7.278685,7.278771,144.645003,144.644976,1.618017,1.569425,0.000086,0.007395,0.695702,0.695692,0.695632,0.452153,0.695592,0.000191,0.497824,0.265213,0.001006,0.999549,0.574197,0.000512,0.999549,0.625489,0.000000,1.000000,0.899701,1.000000,0.999732,0.999964,1.000000,1.000000,0.002753,0.853739,0.000059,0.000000,0.000075,0.000529,0.000198,0.087795,0.041600,0.016006,33.000000,0.290199,0.000194,0.996778,0.000000,0.000000
