Sample,dVm/dt
936,-0.399364
937,-0.399973
938,-0.396836
939,-0.398326
940,-0.405264
941,-0.405714
942,-0.411461
943,-0.401671
944,-0.395139
945,-0.394440
946,-0.401177
947,-0.401829
948,-0.398950
949,-0.404427
950,-0.405772
951,-0.395266
952,-0.398491
953,-0.399647
954,-0.402646
955,-0.397067
956,-0.397068
957,-0.392611
958,-0.395950
959,-0.402788
960,-0.397997
961,-0.399837
962,-0.397230
963,-0.395541
964,-0.400616
965,-0.400630
966,-0.398087
967,-0.404480
968,-0.402953
969,-0.400672
970,-0.396295
971,-0.400681
972,-0.401411
973,-0.392861
974,-0.398514
975,-0.398086
976,-0.399015
977,-0.396113
978,-0.400354
979,-0.398266
980,-0.401783
981,-0.397575
982,-0.397336
983,-0.401590
984,-0.395304
985,-0.402073
986,-0.398348
987,-0.399312
988,-0.386857
989,-0.395481
990,-0.398584
991,-0.394088
992,-0.397177
993,-0.405671
994,-0.398687
995,-0.406113
996,-0.401850
997,-0.408878
998,-0.397934
999,-0.400366
1000,-0.405133
1001,-0.403568
1002,-0.400762
1003,-0.387148
1004,-0.399670
1005,-0.405377
1006,-0.390872
1007,-0.401486
1008,-0.401019
1009,-0.400972
1010,-0.403991
1011,-0.402864
1012,-0.401987
1013,-0.406746
1014,-0.401631
1015,-0.403868
1016,-0.400365
1017,-0.398845
1018,-0.408895
1019,-0.403087
1020,-0.401580
1021,-0.397974
1022,-0.400624
1023,-0.399222
1024,-0.400605
1025,-0.395730
1026,-0.398814
1027,-0.397928
1028,-0.400644
1029,-0.402891
1030,-0.401432
1031,-0.399845
1032,-0.402144
1033,-0.402757
1034,-0.401667
1035,-0.397684
1036,-0.399362
1037,-0.401040
1038,-0.391225
1039,-0.397542
1040,-0.407915
1041,-0.402130
1042,-0.402430
1043,-0.402208
1044,-0.400640
1045,-0.405257
1046,-0.397821
1047,-0.400454
1048,-0.397034
1049,-0.395962
1050,-0.402502
1051,-0.404543
1052,-0.397905
1053,-0.395859
1054,-0.401063
1055,-0.408778
1056,-0.400746
1057,-0.401682
1058,-0.400514
1059,-0.394762
1060,-0.396360
1061,-0.388815
1062,-0.403951
1063,-0.396359
1064,-0.402745
1065,-0.398672
1066,-0.408166
1067,-0.394968
1068,-0.402172
1069,-0.401390
1070,-0.386820
1071,-0.398378
1072,-0.398249
1073,-0.397082
1074,-0.409521
1075,-0.403635
1076,-0.408065
1077,-0.404633
1078,-0.401656
1079,-0.398698
1080,-0.397888
1081,-0.400746
1082,-0.400723
1083,-0.403312
1084,-0.398171
1085,-0.406615
1086,-0.402275
1087,-0.409041
1088,-0.409603
1089,-0.402936
1090,-0.400245
1091,-0.402210
1092,-0.404708
1093,-0.407252
1094,-0.406813
1095,-0.395559
1096,-0.404312
1097,-0.396991
1098,-0.391296
1099,-0.395977
1100,-0.402500
1101,-0.403376
1102,-0.388953
1103,-0.391480
1104,-0.396902
1105,-0.401185
1106,-0.403011
1107,-0.405141
1108,-0.403888
1109,-0.396365
1110,-0.391594
1111,-0.396614
1112,-0.405317
1113,-0.396214
1114,-0.394676
1115,-0.404789
1116,-0.409663
1117,-0.409569
1118,-0.406135
1119,-0.405334
1120,-0.404056
1121,-0.402207
1122,-0.405717
1123,-0.394232
1124,-0.406123
1125,-0.406895
1126,-0.392966
1127,-0.394482
1128,-0.405608
1129,-0.404563
1130,-0.404920
1131,-0.404545
1132,-0.396902
1133,-0.396343
1134,-0.403941
1135,-0.409975
1136,-0.401295
1137,-0.391557
1138,-0.393112
1139,-0.396855
1140,-0.399556
1141,-0.392789
1142,-0.398745
1143,-0.400032
1144,-0.398446
1145,-0.405552
1146,-0.401278
1147,-0.405944
1148,-0.397165
1149,-0.400252
1150,-0.419423
1151,-0.411878
1152,-0.416020
1153,-0.410991
1154,-0.401025
1155,-0.398076
1156,-0.395912
1157,-0.407154
1158,-0.400187
1159,-0.398076
1160,-0.399633
