V,CaMKt,cass,nai,nass,ki,kss,cansr,cajsr,cai,m,hf,hs,j,hsp,jp,mL,hL,hLp,a,iF,iS,ap,iFp,iSp,d,ff,fs,fcaf,fcas,jca,ffp,fcafp,nca,IC1,IC2,C1,C2,O,IO,IObound,Obound,Cbound,D,xs1,xs2,xk1,Jrelnp,Jrelp
-87.935899,0.011058,0.000084,7.282934,7.283018,144.649681,144.649654,1.588820,1.548069,0.000085,0.007393,0.695817,0.695807,0.695756,0.452292,0.695721,0.000191,0.500810,0.273033,0.001006,0.999549,0.593997,0.000512,0.999549,0.649986,0.000000,1.000000,0.920218,1.000000,0.999836,0.999977,1.000000,1.000000,0.002632,0.999631,0.000069,0.000000,0.000084,0.000158,0.000058,0.000000,0.000000,0.000000,162.000000,0.251898,0.000194,0.996777,0.000000,0.000000
-87.935497,0.011197,0.000084,7.282992,7.283077,144.648988,144.648961,1.592595,1.551266,0.000085,0.007393,0.695803,0.695793,0.695741,0.452275,0.695706,0.000191,0.500684,0.272710,0.001006,0.999549,0.593164,0.000512,0.999549,0.648834,0.000000,1.000000,0.919067,1.000000,0.999831,0.999976,1.000000,1.000000,0.002648,0.999631,0.000069,0.000000,0.000084,0.000158,0.000058,0.000000,0.000000,0.000000,162.000000,0.254143,0.000194,0.996777,0.000000,0.000000
-87.937177,0.010814,0.000084,7.289209,7.289292,144.647394,144.647367,1.576377,1.535608,0.000085,0.007392,0.695861,0.695852,0.695801,0.452344,0.695766,0.000191,0.500916,0.273240,0.001005,0.999549,0.594418,0.000512,0.999549,0.650502,0.000000,1.000000,0.920551,1.000000,0.999837,0.999977,1.000000,1.000000,0.002587,0.999632,0.000069,0.000000,0.000084,0.000158,0.000058,0.000000,0.000000,0.000000,162.000000,0.250842,0.000194,0.996777,0.000000,0.000000
-87.935460,0.011220,0.000084,7.282666,7.282750,144.649207,144.649180,1.593294,1.551866,0.000085,0.007393,0.695801,0.695792,0.695740,0.452274,0.695705,0.000191,0.500727,0.272839,0.001006,0.999549,0.593517,0.000512,0.999549,0.649245,0.000000,1.000000,0.919309,1.000000,0.999832,0.999976,1.000000,1.000000,0.002651,0.999631,0.000069,0.000000,0.000084,0.000158,0.000058,0.000000,0.000000,0.000000,162.000000,0.253640,0.000194,0.996777,0.000000,0.000000
-87.935456,0.011221,0.000084,7.282679,7.282764,144.649189,144.649162,1.593318,1.551887,0.000085,0.007393,0.695801,0.695792,0.695740,0.452274,0.695704,0.000191,0.500724,0.272830,0.001006,0.999549,0.593492,0.000512,0.999549,0.649213,0.000000,1.000000,0.919284,1.000000,0.999832,0.999976,1.000000,1.000000,0.002651,0.999631,0.000069,0.000000,0.000084,0.000158,0.000058,0.000000,0.000000,0.000000,162.000000,0.253690,0.000194,0.996777,0.000000,0.000000
-87.935541,0.011216,0.000084,7.285343,7.285428,144.647421,144.647394,1.591756,1.550022,0.000085,0.007393,0.695804,0.695795,0.695742,0.452277,0.695707,0.000191,0.500614,0.272513,0.001006,0.999549,0.592629,0.000512,0.999549,0.648094,0.000000,1.000000,0.918304,1.000000,0.999828,0.999976,1.000000,1.000000,0.002648,0.999631,0.000069,0.000000,0.000084,0.000158,0.000058,0.000000,0.000000,0.000000,162.000000,0.255474,0.000194,0.996777,0.000000,0.000000
-87.936262,0.010978,0.000084,7.281296,7.281381,144.651659,144.651632,1.587053,1.546616,0.000085,0.007393,0.695829,0.695820,0.695769,0.452307,0.695735,0.000191,0.501184,0.274091,0.001006,0.999549,0.596825,0.000512,0.999549,0.653563,0.000000,1.000000,0.922897,1.000000,0.999848,0.999978,1.000000,1.000000,0.002624,0.999631,0.000069,0.000000,0.000084,0.000158,0.000058,0.000000,0.000000,0.000000,162.000000,0.246431,0.000194,0.996777,0.000000,0.000000
-87.935496,0.011198,0.000084,7.282993,7.283078,144.648986,144.648959,1.592606,1.551274,0.000085,0.007393,0.695803,0.695793,0.695741,0.452275,0.695706,0.000191,0.500683,0.272709,0.001006,0.999549,0.593161,0.000512,0.999549,0.648830,0.000000,1.000000,0.919063,1.000000,0.999831,0.999976,1.000000,1.000000,0.002648,0.999631,0.000069,0.000000,0.000084,0.000158,0.000058,0.000000,0.000000,0.000000,162.000000,0.254151,0.000194,0.996777,0.000000,0.000000
-87.935545,0.011214,0.000084,7.285337,7.285421,144.647433,144.647406,1.591721,1.549992,0.000085,0.007393,0.695804,0.695795,0.695742,0.452277,0.695707,0.000191,0.500616,0.272518,0.001006,0.999549,0.592644,0.000512,0.999549,0.648112,0.000000,1.000000,0.918320,1.000000,0.999828,0.999976,1.000000,1.000000,0.002648,0.999631,0.000069,0.000000,0.000084,0.000158,0.000058,0.000000,0.000000,0.000000,162.000000,0.255442,0.000194,0.996777,0.000000,0.000000
-87.936003,0.011022,0.000084,7.282918,7.283003,144.649861,144.649834,1.587845,1.547242,0.000085,0.007393,0.695820,0.695811,0.695760,0.452296,0.695725,0.000191,0.500843,0.273117,0.001006,0.999549,0.594214,0.000512,0.999549,0.650288,0.000000,1.000000,0.920517,1.000000,0.999837,0.999977,1.000000,1.000000,0.002628,0.999631,0.000069,0.000000,0.000084,0.000158,0.000058,0.000000,0.000000,0.000000,162.000000,0.251313,0.000194,0.996777,0.000000,0.000000
